name,description,lengthcms,widthcms,heightcms,weightgms,valueaud
widget1,traditional,4,12,16,3,9.09
widget2,internet worthy,71,11,0,5,7.74
widget3,medicated,40,6,14,0,2.69
widget4,automatic,41,25,10,0,2.4
widget5,jocose,6,24,22,5,9.36
widget6,relevant,22,32,19,2,1.22
widget7,critical,33,5,3,4,9.91
widget8,impressive,84,2,8,3,2.69
widget9,glorious,97,30,8,3,7.26
widget10,slap happy,42,4,1,0,0.84
widget11,jovial,31,47,25,4,1.66
widget12,startling,4,48,7,5,3.94
widget13,inner,1,2,25,3,7.99
widget14,droll,72,42,20,2,9.16
widget15,intelligent,66,50,7,2,6.51
widget16,frozen,41,3,21,0,8.54
widget17,responsible,3,39,7,0,5.53
widget18,actual,24,10,22,3,5.34
widget19,house-broken,97,0,15,5,7.87
widget20,content,14,38,9,0,7.23
widget21,hot,6,17,16,1,5.46
widget22,cowardly,22,42,18,0,8.31
widget23,absurd,70,40,2,4,1.64
widget24,federal,100,44,0,0,0.54
widget25,generous,30,39,6,5,6.75
widget26,slapstick,66,34,6,2,7.93
widget27,side-splitting,12,39,5,2,0.09
widget28,accurate,24,47,5,1,3.45
widget29,decent,18,48,10,1,3.35
widget30,existing,76,28,12,1,6.09
widget31,wonderful,18,45,9,0,3.58
widget32,hyperactive,23,4,9,5,4.2
widget33,riot,58,48,2,2,5.3
widget34,jolly,90,20,20,3,6.31
widget35,antic,100,36,17,4,1.93
widget36,powerful,93,12,8,0,1.89
widget37,out-of-control,72,13,8,4,9.61
widget38,laughable,84,5,21,0,8.79
widget39,suitable,46,3,17,0,1.02
widget40,laughable,4,31,23,5,8.88
widget41,pleased,68,1,25,4,1.21
widget42,available,85,26,0,5,1.79
widget43,consistent,15,2,19,2,9.66
widget44,accurate,76,13,18,4,6.83
widget45,cowardly,25,5,23,4,2.33
widget46,global,51,1,10,5,8.65
widget47,deep,50,15,5,5,8.49
widget48,slapstick,73,20,12,2,5.2
widget49,mental,7,49,9,5,9.75
widget50,magical,23,21,20,5,0.44
widget51,twisted,70,45,13,5,2.11
widget52,popular,18,40,15,1,2.61
widget53,hysterical,75,42,7,0,2.98
widget54,humdinger,64,29,10,0,8.85
widget55,up-to-no-good,51,33,8,1,3.0
widget56,waggish,49,31,10,3,9.83
widget57,basic,11,2,3,0,1.02
widget58,sorry,0,11,14,5,8.21
widget59,farcical,84,23,14,1,1.58
widget60,sunny,30,2,16,2,7.18
widget61,sunny,53,39,18,5,9.28
widget62,hilarious,22,4,24,3,1.18
widget63,ludicrous,42,38,0,5,8.75
widget64,merry,75,30,15,3,8.42
widget65,out-of-control,37,5,10,0,9.42
widget66,haunting,92,5,20,3,3.66
widget67,harsh,96,2,23,1,1.17
widget68,cowardly,45,43,7,3,6.96
widget69,good-humored,59,49,23,4,3.62
widget70,side-splitting,79,35,2,1,6.47
widget71,afraid,41,24,23,5,1.12
widget72,whimsical,25,44,25,5,9.09
widget73,bonkers,72,5,11,0,6.91
widget74,bull headed,64,41,14,1,4.89
widget75,greedy,51,5,24,4,9.77
widget76,anxious,0,45,24,5,4.92
widget77,thrilled,37,5,6,5,9.13
widget78,good-humored,42,12,13,5,5.82
widget79,automatic,68,11,9,3,0.3
widget80,bull headed,39,45,5,5,9.4
widget81,playful,4,48,0,4,3.58
widget82,house-broken,95,39,0,4,0.87
widget83,entertaining,79,31,1,3,5.27
widget84,cowardly,51,25,2,5,1.81
widget85,historical,52,41,22,1,4.86
widget86,capricious,0,25,8,0,0.44
widget87,riotous,53,12,3,4,1.51
widget88,side-splitting,35,25,21,1,6.67
widget89,jocular,37,26,1,1,0.12
widget90,house-broken,24,8,20,2,3.97
widget91,recent,77,8,21,4,0.19
widget92,deep,9,34,0,5,9.45
widget93,flickering,52,35,8,5,0.54
widget94,insecure,94,23,5,4,6.67
widget95,popular,89,8,3,1,3.0
widget96,zippy,14,22,0,3,7.62
widget97,pleasant,18,25,18,2,6.09
widget98,decent,48,27,18,4,0.73
widget99,laughable,90,22,9,3,4.54
widget100,fiercely-loyal,98,0,22,4,4.9
widget101,stupendous,99,2,13,5,3.5
widget101,stupendous,99,2,13,5,3.5
widget101,stupendous,99,2,13,5,3.5
widget101,stupendous,99,2,13,5,3.5
widget101,stupendous,99,2,13,5,3.5